TypeOfOperation,Duration of operation,QuantityofOxygenConsumed
1,3.54,53.1
2,5.45,81.75
1,6.32,94.8
2,2.28,34.2
3,1.3,19.5
4,4.4,66
5,9.3,139.5
4,10.08,151.2
2,2.28,34.2
4,4.4,66
1,8.55,128.25
3,9.3,139.5
2,3.54,53.1
3,3.54,53.1
4,5.45,81.75
5,6.32,94.8
4,2.28,34.2
2,1.3,19.5
4,4.4,66
1,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
2,2.28,34.2
4,1.3,19.5
4,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
4,8.55,128.25
3,9.3,139.5
3,3.54,53.1
5,5.45,81.75
3,6.32,94.8
4,2.28,34.2
2,1.3,19.5
3,4.4,66
4,9.3,139.5
4,10.08,151.2
3,2.28,34.2
2,4.4,66
3,8.55,128.25
4,9.3,139.5
3,3.54,53.1
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
2,4.4,66
1,9.3,139.5
4,10.08,151.2
3,2.28,34.2
4,4.4,66
3,8.55,128.25
3,9.3,139.5
4,3.54,53.1
4,5.45,81.75
4,6.32,94.8
2,2.28,34.2
3,1.3,19.5
4,4.4,66
3,9.3,139.5
2,10.08,151.2
4,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
2,5.45,81.75
4,6.32,94.8
4,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
4,2.28,34.2
3,4.4,66
3,8.55,128.25
5,9.3,139.5
3,3.54,53.1
4,3.54,53.1
2,5.45,81.75
3,6.32,94.8
4,2.28,34.2
4,1.3,19.5
3,4.4,66
2,9.3,139.5
3,10.08,151.2
4,2.28,34.2
3,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
2,2.28,34.2
1,1.3,19.5
4,4.4,66
3,9.3,139.5
4,10.08,151.2
3,2.28,34.2
3,4.4,66
4,8.55,128.25
4,9.3,139.5
4,3.54,53.1
2,5.45,81.75
3,6.32,94.8
4,2.28,34.2
3,1.3,19.5
2,4.4,66
4,9.3,139.5
3,10.08,151.2
1,2.28,34.2
2,4.4,66
3,8.55,128.25
4,9.3,139.5
5,3.54,53.1
4,3.54,53.1
2,5.45,81.75
4,6.32,94.8
1,2.28,34.2
3,1.3,19.5
2,4.4,66
3,9.3,139.5
4,10.08,151.2
5,2.28,34.2
4,4.4,66
2,8.55,128.25
4,9.3,139.5
1,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
2,4.4,66
4,8.55,128.25
4,9.3,139.5
3,3.54,53.1
3,5.45,81.75
3,6.32,94.8
3,2.28,34.2
4,1.3,19.5
3,4.4,66
3,9.3,139.5
5,10.08,151.2
3,2.28,34.2
4,4.4,66
2,8.55,128.25
3,9.3,139.5
4,3.54,53.1
4,3.54,53.1
3,5.45,81.75
2,6.32,94.8
3,2.28,34.2
4,1.3,19.5
3,4.4,62.8
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
3,4.4,66
3,8.55,128.25
2,9.3,139.5
1,3.54,53.1
4,5.45,81.75
3,6.32,94.8
4,2.28,34.2
3,1.3,19.5
3,4.4,66
4,9.3,139.5
4,10.08,151.2
4,2.28,34.2
2,4.4,66
3,8.55,128.25
4,9.3,139.5
3,3.54,53.1
2,5.45,81.75
4,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
2,10.08,151.2
4,2.28,34.2
4,4.4,66
3,8.55,128.25
3,9.3,139.5
3,3.54,53.1
3,3.54,53.1
4,5.45,81.75
3,6.32,94.8
3,2.28,34.2
5,1.3,19.5
3,4.4,66
4,9.3,139.5
2,10.08,151.2
3,2.28,34.2
4,4.4,66
4,8.55,128.25
3,9.3,139.5
2,3.54,53.1
3,5.45,81.75
4,6.32,94.8
3,2.28,34.2
3,1.3,19.5
3,4.4,66
3,9.3,139.5
3,10.08,151.2
3,2.28,34.2
2,4.4,66
1,8.55,128.25
4,9.3,139.5
3,3.54,53.1
4,5.45,81.75
3,6.32,94.8
3,2.28,34.2
4,1.3,19.5
4,4.4,66
4,9.3,139.5
2,10.08,151.2
3,2.28,34.2
4,4.4,66
3,8.55,128.25
2,9.3,139.5
4,3.54,53.1
3,3.54,53.1
1,5.45,81.75
2,6.32,94.8
